Date      = Sat Apr 23 23:40:39 EDT 2022
host      = c0909a-s35
Directory = /blue/ctolerfranklin/michaelperez012/videogan-pytorch
Model restored
Epoch 9/10 | Iter 216/30188 | D 1.1845e-01 | G 9.9769e+00 | Real 1.00 | Fake 0.17
Epoch 9/10 | Iter 217/30188 | D 1.2152e-02 | G 8.4755e+00 | Real 0.99 | Fake 0.01
Epoch 9/10 | Iter 218/30188 | D 3.2306e-04 | G 9.1020e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 219/30188 | D 3.9544e-01 | G 3.8529e+00 | Real 0.57 | Fake 0.00
Epoch 9/10 | Iter 220/30188 | D 4.3744e-01 | G 1.1993e+01 | Real 1.00 | Fake 0.49
Epoch 9/10 | Iter 221/30188 | D 9.8400e-02 | G 9.8277e+00 | Real 0.85 | Fake 0.00
Epoch 9/10 | Iter 222/30188 | D 2.2667e-01 | G 2.2867e+00 | Real 0.72 | Fake 0.00
Epoch 9/10 | Iter 223/30188 | D 7.3132e-02 | G 2.2190e+00 | Real 1.00 | Fake 0.07
Epoch 9/10 | Iter 224/30188 | D 1.2750e-01 | G 8.5379e+00 | Real 1.00 | Fake 0.18
Epoch 9/10 | Iter 225/30188 | D 3.6561e-02 | G 1.0820e+01 | Real 0.96 | Fake 0.03
Epoch 9/10 | Iter 226/30188 | D 2.5246e-01 | G 3.3855e+00 | Real 0.67 | Fake 0.00
Epoch 9/10 | Iter 227/30188 | D 4.2389e-01 | G 9.3911e+00 | Real 1.00 | Fake 0.45
Epoch 9/10 | Iter 228/30188 | D 2.4862e-03 | G 1.1822e+01 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 229/30188 | D 3.6483e-01 | G 7.5052e+00 | Real 0.64 | Fake 0.00
Epoch 9/10 | Iter 230/30188 | D 3.0111e-03 | G 2.7383e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 231/30188 | D 6.5174e-02 | G 5.8835e+00 | Real 1.00 | Fake 0.10
